name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,197087,76060,197087,2868,2015-11-07 01:19:20+00:00,2026-08-16 22:40:49+00:00,apache-2.0
transformers,huggingface,Python,164166,34256,164166,2384,2018-10-29 13:56:00+00:00,2026-08-16 22:54:55+00:00,apache-2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89443,21953,89443,11,2021-03-03 01:34:05+00:00,2026-08-16 23:13:57+00:00,mit
funNLP,fighting41love,Python,82501,15267,82501,53,2018-08-21 11:20:39+00:00,2026-08-16 19:18:33+00:00,None
awesome-machine-learning,josephmisiti,Python,74036,15612,74036,24,2014-07-15 19:11:19+00:00,2026-08-16 22:56:23+00:00,other
scikit-learn,scikit-learn,Python,66964,27293,66964,2129,2010-08-17 09:43:38+00:00,2026-08-16 19:21:03+00:00,bsd-3-clause
gradio,gradio-app,Python,43371,3574,43371,184,2018-12-19 08:24:04+00:00,2026-08-16 21:06:28+00:00,apache-2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36308,7437,36308,67,2021-01-02 12:08:37+00:00,2026-08-16 22:08:54+00:00,None
C-Plus-Plus,TheAlgorithms,C++,34581,7852,34581,32,2016-07-16 10:19:45+00:00,2026-08-16 17:00:55+00:00,mit
netron,lutzroeder,JavaScript,33362,3172,33362,16,2010-12-26 12:53:43+00:00,2026-08-16 17:38:18+00:00,mit
ML-From-Scratch,eriklindernoren,Python,32477,5430,32477,78,2017-02-05 12:11:23+00:00,2026-08-16 22:09:17+00:00,mit
applied-ml,eugeneyan,Unknown,30049,3990,30049,8,2020-07-04 18:57:47+00:00,2026-08-16 22:29:59+00:00,mit
machine-learning-for-software-engineers,ZuzooVn,Unknown,28860,6148,28860,32,2016-10-09 21:20:25+00:00,2026-08-15 19:57:02+00:00,cc-by-sa-4.0
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28813,12911,28813,21,2019-07-13 19:52:56+00:00,2026-08-16 21:12:22+00:00,agpl-3.0
cs249r_book,harvard-edge,Python,27940,3526,27940,32,2023-09-06 19:31:06+00:00,2026-08-16 20:45:58+00:00,other
shap,shap,Jupyter Notebook,25686,3740,25686,1012,2016-11-22 19:17:08+00:00,2026-08-16 11:03:39+00:00,mit
homemade-machine-learning,trekhleb,Jupyter Notebook,24758,4195,24758,31,2018-11-01 04:34:19+00:00,2026-08-16 13:19:22+00:00,mit
Paddle,PaddlePaddle,C++,24053,6014,24053,1522,2016-08-15 06:59:08+00:00,2026-08-16 15:48:15+00:00,apache-2.0
best-of-ml-python,lukasmasuch,Unknown,23716,3140,23716,52,2020-11-29 19:41:36+00:00,2026-08-16 15:57:54+00:00,cc-by-sa-4.0
C,TheAlgorithms,C,22333,4767,22333,18,2016-07-16 10:17:03+00:00,2026-08-16 16:56:03+00:00,gpl-3.0
onnx,onnx,Python,21318,4000,21318,279,2017-09-07 04:53:45+00:00,2026-08-16 19:46:35+00:00,apache-2.0
rasa,RasaHQ,Python,21296,4919,21296,153,2016-10-14 12:27:49+00:00,2026-08-16 11:07:02+00:00,apache-2.0
video2x,k4yt3x,C++,20945,1814,20945,129,2018-02-24 16:34:41+00:00,2026-08-16 20:02:15+00:00,agpl-3.0
awesome-production-machine-learning,EthicalML,Unknown,20850,2590,20850,31,2018-08-15 14:28:41+00:00,2026-08-16 22:45:11+00:00,mit
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20480,5521,20480,5,2018-05-09 12:33:08+00:00,2026-08-16 20:02:42+00:00,mit
stanford-cs-229-machine-learning,afshinea,Unknown,20110,4248,20110,20,2018-08-04 23:01:00+00:00,2026-08-16 20:03:36+00:00,mit
ml-agents,Unity-Technologies,C#,19628,4481,19628,20,2017-09-08 21:09:04+00:00,2026-08-16 10:11:41+00:00,other
LightGBM,lightgbm-org,C++,18688,4051,18688,512,2016-08-05 05:45:50+00:00,2026-08-16 19:21:38+00:00,mit
ml-engineering,stas00,Python,18632,1200,18632,3,2020-09-02 19:23:01+00:00,2026-08-16 21:01:49+00:00,cc-by-sa-4.0
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18107,3970,18107,47,2015-09-12 14:51:38+00:00,2026-08-16 21:06:41+00:00,cc0-1.0
ML-NLP,NLP-LOVE,Jupyter Notebook,17793,4629,17793,36,2019-07-05 12:49:53+00:00,2026-08-16 11:29:29+00:00,None
brpc,apache,C++,17582,4130,17582,467,2017-09-04 09:28:47+00:00,2026-08-16 16:12:31+00:00,apache-2.0
ML-YouTube-Courses,dair-ai,Unknown,17361,2120,17361,21,2021-06-25 09:39:16+00:00,2026-08-16 21:52:24+00:00,cc0-1.0
numpy-ml,ddbourgin,Python,16335,3745,16335,48,2019-04-06 22:29:49+00:00,2026-08-16 18:29:52+00:00,gpl-3.0
transformers.js,huggingface,JavaScript,16259,1180,16259,273,2023-02-13 13:51:45+00:00,2026-08-16 10:24:35+00:00,apache-2.0
mml-book.github.io,mml-book,Jupyter Notebook,15881,2840,15881,197,2017-12-08 10:52:21+00:00,2026-08-16 13:18:19+00:00,None
kubeflow,kubeflow,Unknown,15816,2690,15816,0,2017-11-30 18:44:19+00:00,2026-08-16 20:40:32+00:00,apache-2.0
cheatsheets-ai,kailashahirwar,Unknown,15427,3373,15427,12,2017-05-24 12:06:56+00:00,2026-08-16 17:56:45+00:00,mit
Qix,ty4z2008,Unknown,15182,4576,15182,0,2014-04-20 11:03:15+00:00,2026-08-16 05:21:24+00:00,other
ggml,ggml-org,C++,15181,1780,15181,346,2022-09-18 17:07:19+00:00,2026-08-16 17:47:07+00:00,mit
imgaug,aleju,Python,14739,2452,14739,312,2015-07-10 20:31:33+00:00,2026-08-14 13:12:26+00:00,mit
bullet3,bulletphysics,C++,14679,3087,14679,423,2011-04-12 18:45:08+00:00,2026-08-16 17:47:36+00:00,other
ChatterBot,gunthercox,Python,14509,4420,14509,73,2014-09-28 14:49:00+00:00,2026-08-16 13:45:21+00:00,bsd-3-clause
dlib,davisking,C++,14433,3442,14433,38,2014-01-29 00:45:33+00:00,2026-08-12 16:40:41+00:00,bsl-1.0
nni,microsoft,Python,14363,1853,14363,415,2018-06-01 05:51:44+00:00,2026-08-16 01:22:07+00:00,mit
mit-deep-learning-book-pdf,janishar,Java,14196,2909,14196,12,2017-04-07 10:46:50+00:00,2026-08-15 21:02:46+00:00,None
ivy,unifyai,Python,14171,5466,14171,985,2021-01-19 08:37:25+00:00,2026-08-13 15:59:43+00:00,other
handson-ml3,ageron,Jupyter Notebook,13933,5244,13933,107,2022-02-19 09:43:22+00:00,2026-08-16 22:05:58+00:00,apache-2.0
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13923,3091,13923,3,2020-04-17 04:29:23+00:00,2026-08-16 19:53:14+00:00,None
tvm,apache,Python,13667,3956,13667,236,2016-10-12 22:20:28+00:00,2026-08-16 16:16:52+00:00,apache-2.0
Ai-Learn,tangyudi,Unknown,13260,2676,13260,20,2020-01-28 01:55:06+00:00,2026-08-16 13:01:52+00:00,None
deep-learning-drizzle,kmario23,HTML,12932,2988,12932,5,2018-11-26 01:17:36+00:00,2026-08-16 06:25:48+00:00,None
machine-learning-interview,khangich,Unknown,12784,2043,12784,9,2020-08-11 06:26:32+00:00,2026-08-16 09:45:17+00:00,None
python-machine-learning-book,rasbt,Jupyter Notebook,12639,4372,12639,13,2015-08-07 20:39:29+00:00,2026-08-16 15:25:34+00:00,mit
predictionio,apache,Scala,12519,1899,12519,80,2013-01-25 19:42:32+00:00,2026-08-12 22:04:23+00:00,apache-2.0
lime,marcotcr,JavaScript,12167,1847,12167,133,2016-03-15 22:18:10+00:00,2026-08-15 22:11:09+00:00,bsd-2-clause
cleanlab,cleanlab,Python,11626,915,11626,119,2018-05-11 01:55:21+00:00,2026-08-16 13:16:58+00:00,apache-2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11393,1866,11393,0,2015-02-22 23:48:16+00:00,2026-08-12 14:37:13+00:00,cc-by-4.0
MLAlgorithms,rushter,Python,11164,1770,11164,10,2016-10-05 06:46:45+00:00,2026-08-16 15:25:13+00:00,mit
turicreate,apple,C++,11163,1118,11163,522,2017-12-01 00:42:04+00:00,2026-08-12 00:02:52+00:00,bsd-3-clause
